59;341490;527870;165214;335060;333669;325359;149438;138232;90944;69781;127303;2604360
60;109790;151836;48212;105522;114970;110221;49556;45269;29701;21783;37643;824503
61;30164;45982;12595;28867;35124;39173;20685;20609;14291;11752;24130;283372
75;205078;387789;226425;337088;288588;262110;115023;110662;84432;61238;109093;2187526
62;188105;273559;82342;181481;191500;193479;93119;87443;55465;42413;79112;1468018
63;69774;116811;36583;76573;85590;87293;42730;42047;30628;23162;42554;653745
66;50433;75355;22124;50809;59960;62816;31869;35217;27201;20570;38098;474452
64;69196;108380;33454;78192;90413;94012;45067;44599;33691;27244;53061;677309
974;126890;189838;50842;107320;121502;117430;44751;33255;23071;17545;21215;853659
69;237358;375853;129929;249247;234909;215556;92028;87888;69371;52881;98297;1843317
71;58549;85203;25587;58714;69836;77317;39718;39712;29868;23677;45412;553593
72;67740;101265;28169;63417;73493;74674;36847;35417;25036;20202;40246;566506
73;49343;73329;23401;52913;59526;59113;27216;25763;18978;14823;26769;431174
77;196616;275978;86564;188782;199721;182936;75925;66007;44633;32417;54418;1403997
76;151354;234891;74111;151150;159216;163836;78995;74026;52233;40362;74203;1254377
93;254923;320885;118336;247653;221311;192943;77701;63238;42363;31853;51907;1623113
80;66776;111147;32420;67803;74340;74332;36241;35030;23436;17832;33085;572442
81;41039;62044;17099;41488;50256;53710;26828;26474;19855;15424;33675;387892
82;31149;42559;12274;30151;34953;34711;16666;16481;11991;9020;18396;258351
90;16776;26195;8460;17465;18682;18852;8842;8243;6028;4640;8440;142623
94;185643;262497;98680;198902;190555;176330;71293;61869;44161;34241;63754;1387925
95;182817;244206;79427;171886;165774;156791;64762;53919;36437;26329;46270;1228618
83;108638;162941;51026;117032;134711;143262;71053;75942;63089;48055;82991;1058740
84;66382;95222;29150;63681;72916;76260;35878;36032;27301;20363;36297;559482
85;77088;108468;30838;76794;87690;88794;47095;49119;34768;26156;48438;675248
86;48001;83275;23454;49383;54565;56390;28576;26902;19113;15612;31606;436877
88;38209;60102;17666;39554;47069;53004;26630;26326;17662;14257;27194;367673
89;37859;53309;16255;37322;43611;46214;24131;24258;16783;13150;25398;338290
78;194383;272570;81808;185670;204654;189890;77011;70481;52493;41053;68252;1438265
976;30725;46327;14968;31773;34072;33869;15773;15106;10919;8448;15532;257511
