dep;clage_vacsi;jour;n_tot_dose1;n_tot_complet;pop;couv_tot_dose1;couv_tot_complet
10;24;2021-05-03;902;347;24096.0;3.7;1.4
10;29;2021-05-03;1027;414;16549.0;6.2;2.5
10;39;2021-05-03;3170;1281;36584.0;8.7;3.5
10;49;2021-05-03;5227;2008;38394.0;13.6;5.2
10;59;2021-05-03;13112;4186;39551.0;33.2;10.6
10;64;2021-05-03;10714;2187;19401.0;55.2;11.3
10;69;2021-05-03;12130;3162;19343.0;62.7;16.3
10;74;2021-05-03;14130;6857;17592.0;80.3;39.0
10;79;2021-05-03;9452;7593;10554.0;89.6;71.9
10;80;2021-05-03;15706;12471;20810.0;75.5;59.9
11;24;2021-05-03;679;284;22902.0;3.0;1.2
11;29;2021-05-03;809;320;15409.0;5.3;2.1
11;39;2021-05-03;2666;1067;39384.0;6.8;2.7
11;49;2021-05-03;5021;1970;45681.0;11.0;4.3
11;59;2021-05-03;13736;3815;51248.0;26.8;7.4
11;64;2021-05-03;11762;2250;26525.0;44.3;8.5
11;69;2021-05-03;14614;3194;27686.0;52.8;11.5
11;74;2021-05-03;17284;5848;25828.0;66.9;22.6
11;79;2021-05-03;12105;8380;16823.0;72.0;49.8
11;80;2021-05-03;18632;13384;30100.0;61.9;44.5
12;24;2021-05-03;651;266;16356.0;4.0;1.6
12;29;2021-05-03;773;359;11329.0;6.8;3.2
12;39;2021-05-03;2684;1224;28724.0;9.3;4.3
12;49;2021-05-03;4736;2023;33377.0;14.2;6.1
12;59;2021-05-03;12074;3918;39683.0;30.4;9.9
12;64;2021-05-03;10621;2073;20219.0;52.5;10.3
12;69;2021-05-03;12840;2784;20502.0;62.6;13.6
12;74;2021-05-03;14991;5687;18733.0;80.0;30.4
12;79;2021-05-03;10411;8130;12213.0;85.2;66.6
12;80;2021-05-03;19643;15811;26666.0;73.7;59.3
13;24;2021-05-03;6695;2643;166869.0;4.0;1.6
13;29;2021-05-03;7602;3500;113164.0;6.7;3.1
13;39;2021-05-03;22339;9763;254362.0;8.8;3.8
13;49;2021-05-03;39884;16449;256640.0;15.5;6.4
13;59;2021-05-03;87633;31078;265649.0;33.0;11.7
13;64;2021-05-03;61109;18907;120563.0;50.7;15.7
13;69;2021-05-03;65209;23100;115967.0;56.2;19.9
13;74;2021-05-03;73940;37017;105855.0;69.9;35.0
13;79;2021-05-03;56763;42528;76830.0;73.9;55.4
13;80;2021-05-03;84575;63429;128303.0;65.9;49.4
14;24;2021-05-03;3368;1001;60987.0;5.5;1.6
14;29;2021-05-03;3163;1060;34960.0;9.0;3.0
14;39;2021-05-03;8109;2941;78671.0;10.3;3.7
14;49;2021-05-03;11328;4006;84964.0;13.3;4.7
14;59;2021-05-03;27666;7456;89285.0;31.0;8.4
14;64;2021-05-03;24080;3709;45437.0;53.0;8.2
14;69;2021-05-03;28168;4649;45564.0;61.8;10.2
14;74;2021-05-03;33219;9858;39971.0;83.1;24.7
14;79;2021-05-03;21184;15623;23384.0;90.6;66.8
14;80;2021-05-03;35952;27542;47097.0;76.3;58.5
15;24;2021-05-03;413;168;8091.0;5.1;2.1
15;29;2021-05-03;457;179;5406.0;8.5;3.3
15;39;2021-05-03;1489;643;14131.0;10.5;4.6
15;49;2021-05-03;2320;983;17202.0;13.5;5.7
15;59;2021-05-03;5674;2022;21195.0;26.8;9.5
15;64;2021-05-03;5001;1047;11135.0;44.9;9.4
15;69;2021-05-03;6240;1375;11435.0;54.6;12.0
15;74;2021-05-03;7790;2801;10127.0;76.9;27.7
15;79;2021-05-03;5153;3780;6453.0;79.9;58.6
15;80;2021-05-03;9632;7432;13739.0;70.1;54.1
16;24;2021-05-03;481;187;22805.0;2.1;0.8
16;29;2021-05-03;827;373;16488.0;5.0;2.3
16;39;2021-05-03;2371;916;37221.0;6.4;2.5
16;49;2021-05-03;3950;1586;42419.0;9.3;3.7
16;59;2021-05-03;12043;3238;48767.0;24.7;6.6
16;64;2021-05-03;11874;1737;25626.0;46.3;6.8
16;69;2021-05-03;14245;2147;25227.0;56.5;8.5
16;74;2021-05-03;17082;3945;22007.0;77.6;17.9
16;79;2021-05-03;12146;8466;14324.0;84.8;59.1
16;80;2021-05-03;21758;16093;29131.0;74.7;55.2
17;24;2021-05-03;1173;436;41888.0;2.8;1.0
17;29;2021-05-03;1627;708;25772.0;6.3;2.7
17;39;2021-05-03;4907;2111;66631.0;7.4;3.2
17;49;2021-05-03;7768;3508;78405.0;9.9;4.5
17;59;2021-05-03;21672;6689;85909.0;25.2;7.8
17;64;2021-05-03;21894;3563;47547.0;46.0;7.5
17;69;2021-05-03;29327;5297;51529.0;56.9;10.3
17;74;2021-05-03;37948;13642;47920.0;79.2;28.5
17;79;2021-05-03;25789;19409;30024.0;85.9;64.6
17;80;2021-05-03;40538;31121;55292.0;73.3;56.3
18;24;2021-05-03;505;165;18426.0;2.7;0.9
18;29;2021-05-03;639;219;13223.0;4.8;1.7
18;39;2021-05-03;2025;737;31552.0;6.4;2.3
18;49;2021-05-03;3684;1414;35301.0;10.4;4.0
18;59;2021-05-03;10636;3202;41611.0;25.6;7.7
18;64;2021-05-03;10337;1770;21471.0;48.1;8.2
18;69;2021-05-03;12029;2253;21413.0;56.2;10.5
18;74;2021-05-03;14843;4761;20101.0;73.8;23.7
18;79;2021-05-03;10824;7317;12438.0;87.0;58.8
18;80;2021-05-03;18542;13618;24943.0;74.3;54.6
19;24;2021-05-03;661;253;15462.0;4.3;1.6
19;29;2021-05-03;801;350;10380.0;7.7;3.4
19;39;2021-05-03;2248;941;24486.0;9.2;3.8
19;49;2021-05-03;3786;1571;29167.0;13.0;5.4
19;59;2021-05-03;9886;3275;33019.0;29.9;9.9
19;64;2021-05-03;8137;1805;17701.0;46.0;10.2
19;69;2021-05-03;9800;2336;18195.0;53.9;12.8
19;74;2021-05-03;12070;4287;16310.0;74.0;26.3
19;79;2021-05-03;8605;6329;10544.0;81.6;60.0
19;80;2021-05-03;16328;12272;22198.0;73.6;55.3
20;24;2021-05-03;3;0;;;
20;29;2021-05-03;4;0;;;
20;39;2021-05-03;23;0;;;
20;49;2021-05-03;22;0;;;
20;59;2021-05-03;248;11;;;
20;64;2021-05-03;129;3;;;
20;69;2021-05-03;103;4;;;
20;74;2021-05-03;71;2;;;
20;79;2021-05-03;12;2;;;
20;80;2021-05-03;29;6;;;
